@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
78.714,0.798085,10.65
78.58,0.8001,10.16
78.32,0.7957,9.91
78.39,0.79488,10.55
78.274,0.79375,10.36
78.417,0.79603,10.99
78.38,0.7936,11.02
78.93,0.791396,11.03
78.208,0.782045,10.97
78.27,0.781748,11.04
77.804,0.77765,11.14
77.9,0.7755,11.3
77.477,0.77155,11.5
78.286,0.762946,11.63
78.39,0.76171,11.85
78.752,0.76218,11.91
78.67,0.767,12.32
78.364,0.76612,12.28
78.3,0.77218,12.19
78.14,0.7693,11.97
77.87,0.77386,11.75
77.846,0.77222,12.2
77.748,0.7777,12.22
77.66,0.7743,12.28
78.084,0.77765,12.28
78.021,0.7756,12.64
78.107,0.7731,12.9
78.51,0.775,12.57
78.35,0.76755,12.5
78.651,0.76745,12.39
78.66,0.76687,11.71
78.195,0.770882,11.99
78.23,0.7765,12.24
78.25,0.77565,12.09
78.4,0.7727,11.9
78.354,0.7723,11.85
78.42,0.77202,11.79
78.41,0.77181,11.66
78.761,0.7721,11.92
78.9,0.76655,11.88
78.77,0.762,11.8
79.228,0.763,11.67
79.33,0.76755,11.6
79.32,0.76793,11.32
79.826,0.7657,11.58
79.821,0.77065,11.4
79.81,0.77239,10.55
80.17,0.7717,10
79.688,0.773602,10.43
79.8,0.7753,10.8
79.622,0.770971,11
79.862,0.77101,10.85
80.107,0.7728,10.67
80.494,0.77865,10.66
80.47,0.77906,10.78
80.162,0.78168,10.74
80.28,0.78003,10.8
79.88,0.7836,10.81
79.76,0.78469,10.8
79.476,0.7863,10.81
79.5,0.78682,10.87
79.423,0.7866,10.87
79.429,0.786349,10.97
80.201,0.78468,11.05
81.174,0.7822,11.46
81.265,0.786569,11.57
81.3,0.78472,11.65
81.16,0.78075,11.65
81.72,0.7804,11.67
82.361,0.78015,11.88
82.57,0.777,12.16
82.33,0.77173,12.25
82.405,0.770625,12.2
82.122,0.77125,12.07
82.266,0.77275,12.22
81.8765,0.77382,12.37
82.086,0.77185,12.43
82.535,0.76875,12.34
82.485,0.77,12.42
82.515,0.77,12.6
82.255,0.765492,12.59
81.869,0.76445,13.2
82.3585,0.76487,13.45
82.298,0.771159,13.37
82.39,0.7731,13.36
82.485,0.77357,13.29
82.485,0.77357,13.3
82.382,0.773401,13.35
82.414,0.769696,13.49
83.105,0.766865,13.52
83.549,0.764585,13.51
83.535,0.76155,13.38
83.52,0.759705,13.27
83.515,0.759795,13.2
83.738,0.75944,13.13
84.017,0.75619,13.4
84.3245,0.7543,13.35
84.345,0.75635,13.2
84.12,0.75945,13.2
84.235,0.75818,13.23
84.825,0.75875,13.24
84.83,0.75835,13.18
85.651,0.7564,13.2
86.037,0.75605,13.18
86.111,0.7567,13.22
85.985,0.7566,13.24
86.576,0.758452,13.22
86.73,0.75758,13.09
87.1055,0.757715,13.19
86.948,0.762825,13.19
88.1445,0.76607,13.15
88.145,0.76517,13.15
88.145,0.76517,13.2
87.705,0.76325,13.5
87.145,0.765272,13.58
87.908,0.764991,14
88.18,0.75665,14
89.205,0.74875,13.89
89.175,0.74935,13.64
89.175,0.74935,14.1
89.3255,0.74802,14.2
88.69,0.749583,14.53
88.604,0.751648,15.36
89.424,0.74875,15.57
89.8865,0.75205,15.38
90.115,0.750805,15.5
90.135,0.750805,16.52
89.774,0.75105,17.35
88.565,0.751877,17.5
88.445,0.7516,17.29
90.024,0.74775,17.49
91.0245,0.74311,17.49
90.875,0.742885,17.6
90.855,0.742885,18.67
90.73,0.74285,19.35
90.6405,0.74205,19.45
91.08,0.73725,20.46
91.314,0.73635,20.35
92.477,0.73025,19.82
92.785,0.73295,20.29
92.835,0.733135,20.3
92.615,0.738715,20.5
93.398,0.73685,20.91
93.5445,0.73905,21.71
93.272,0.746885,22.4
92.712,0.74775,23.14
92.7,0.748165,23.7
92.705,0.748165,23.94
93.431,0.7455,25.47
93.1195,0.743329,25
93.36,0.74375,27.4
93.095,0.75025,27
93.6565,0.748408,27.5
93.515,0.748115,26.98
93.505,0.748275,26.92
93.955,0.74912,29.39
93.556,0.74675,30
93.568,0.749092,30
92.979,0.757258,30.4
93.361,0.759302,29.54
93.425,0.758095,29.78
93.445,0.758095,30.43
93.3545,0.758208,31.1
91.383,0.766049,31.31
91.923,0.763295,33.53
92.361,0.76415,34.55
93.335,0.77045,34.16
93.595,-1,34.33
93.595,0.76793,36.52
93.335,0.769607,40.75
93.424,0.76815,42.32
93.655,0.76985,41.68
95,0.763715,43.76
96.043,0.76985,46
96.01,0.768935,45.29
95.955,0.768935,48.25
96.21,0.76838,44.84
95.925,0.767675,46.99
96.064,0.772025,46.95
95.828,0.768808,46.9
95.375,0.765849,46.74
95.29,0.764585,47.24
95.275,0.764585,50.35
95.183,0.7707,59.41
95.0875,0.77782,64.2
95.533,0.77245,72.23
95.093,0.7746,69.9
94.48,0.770137,63.9
94.545,-1,70.22
94.545,-1,75.11
93.9385,0.777696,79.81
94.369,0.777911,89.3
94.35,0.782788,88.52
94.08,0.780071,90
94.205,0.7804,92.11
94.225,0.77988,96.15
94.2,0.77988,104.7
93.3,0.77805,116
93.495,0.7792,133.78
92.878,0.778645,135
96.118,0.7765,141.8
97.16,0.76825,141
97.555,0.77387,164.97
97.555,0.76976,185.6
99.1035,0.76855,229
99.212,0.7639,162
99.695,0.765577,83.4
99.865,0.762268,109.9
98.94,0.7636,91.64
98.375,0.76266,91.11
98.375,0.762545,74
97.78,0.764877,68.09
97.645,0.757855,89.98
97.559,0.767089,109.3
98.1755,0.7653,117.71
99.179,0.76485,126.55
99.505,0.766225,118.81
99.535,0.766165,123.74
99.2615,0.76625,137.29
99.336,0.76915,149
99.408,0.768344,141.9
99.375,0.768271,137.3
98.078,0.7677,128.8
98.07,0.76743,135.28
98.035,0.76743,143.31
97.9705,0.76365,139.88
97.531,0.7603,116.75
97.19,0.75762,106.81
98.034,0.76523,98.08
99.137,0.76305,112.62
99.005,0.76231,116.57
99.005,0.76231,112.71
99.43,0.76475,110
99.06,0.764118,113.16
98.8855,0.7596,111.96
99.844,0.76355,117.9
101.605,0.770475,115.04
101.605,0.769645,114.5
101.605,0.769645,115.99
101.933,0.770716,107
102.29,0.772529,108.95
102.32,0.776636,113.35
102.02,0.77456,116.73
103.043,0.77899,118.49
103.255,0.77888,116.38
103.255,0.77888,116.55
102.315,0.776669,117.5
102.53,0.774764,119.11
103.329,0.7772,123.84
101.755,0.77289,128.7
100.973,0.773844,128.97
101.325,0.77328,129.5
101.325,0.77328,126.25
101.0905,0.773491,125.92
102.096,0.777409,130.35
100.9925,0.773445,126.81
100.93,0.765955,127.91
100.825,0.77118,128.77
99.089,0.76327,120.57
100.0595,0.76563,121.2
99.263,0.763936,118.78
97.2045,0.755267,110.18
