Time,
2015-05-08 00:00:00 UTC,0.139358951
2015-05-09 00:00:00 UTC,0.15361573
2015-05-10 00:00:00 UTC,0.150362602
2015-05-11 00:00:00 UTC,0.128341218
2015-05-12 00:00:00 UTC,0.090264127
2015-05-13 00:00:00 UTC,0.077608771
2015-05-14 00:00:00 UTC,0.090262314
2015-05-15 00:00:00 UTC,0.077344595
2015-05-16 00:00:00 UTC,0.076031464
2015-05-17 00:00:00 UTC,0.071380183
2015-05-18 00:00:00 UTC,0.075234364
2015-05-19 00:00:00 UTC,0.069520609
2015-05-20 00:00:00 UTC,0.068355337
2015-05-21 00:00:00 UTC,0.068006325
2015-05-22 00:00:00 UTC,0.062458929
2015-05-23 00:00:00 UTC,0.066911938
2015-05-24 00:00:00 UTC,0.071380258
2015-05-25 00:00:00 UTC,0.087971854
2015-05-26 00:00:00 UTC,0.062811619
2015-05-27 00:00:00 UTC,0.050963968
2015-05-28 00:00:00 UTC,0.050392375
2015-05-29 00:00:00 UTC,0.071290077
2015-05-30 00:00:00 UTC,0.084322415
2015-05-31 00:00:00 UTC,0.079176057
2015-06-01 00:00:00 UTC,0.076045382
2015-06-02 00:00:00 UTC,0.075252676
2015-06-03 00:00:00 UTC,0.059682118
2015-06-04 00:00:00 UTC,0.047979395
2015-06-05 00:00:00 UTC,0.048330875
2015-06-06 00:00:00 UTC,0.035142771
2015-06-07 00:00:00 UTC,0.052166095
2015-06-08 00:00:00 UTC,0.054459156
2015-06-09 00:00:00 UTC,0.045056363
2015-06-10 00:00:00 UTC,0.040114438
2015-06-11 00:00:00 UTC,0.041610059
2015-06-12 00:00:00 UTC,0.041207695
2015-06-13 00:00:00 UTC,0.049873042
2015-06-14 00:00:00 UTC,0.057918337
2015-06-15 00:00:00 UTC,0.043429921
2015-06-16 00:00:00 UTC,0.058626032
2015-06-17 00:00:00 UTC,0.069482946
2015-06-18 00:00:00 UTC,0.052459411
2015-06-19 00:00:00 UTC,0.044530922
2015-06-20 00:00:00 UTC,0.050600288
2015-06-21 00:00:00 UTC,0.04009333
2015-06-22 00:00:00 UTC,0.062946263
2015-06-23 00:00:00 UTC,0.052662249
2015-06-24 00:00:00 UTC,0.050851776
2015-06-25 00:00:00 UTC,0.043458639
2015-06-26 00:00:00 UTC,0.044168016
2015-06-27 00:00:00 UTC,0.048876758
2015-06-28 00:00:00 UTC,0.046219605
2015-06-29 00:00:00 UTC,0.04388527
2015-06-30 00:00:00 UTC,0.03761845
2015-07-01 00:00:00 UTC,0.056005557
2015-07-02 00:00:00 UTC,0.060826678
2015-07-03 00:00:00 UTC,0.047081407
2015-07-04 00:00:00 UTC,0.047148952
2015-07-05 00:00:00 UTC,0.071103737
2015-07-06 00:00:00 UTC,0.06136841
2015-07-07 00:00:00 UTC,0.056861532
2015-07-08 00:00:00 UTC,0.072967051
2015-07-09 00:00:00 UTC,0.058277361
2015-07-10 00:00:00 UTC,0.108414601
2015-07-11 00:00:00 UTC,0.141530672
2015-07-12 00:00:00 UTC,0.129710669
2015-07-13 00:00:00 UTC,0.108176609
2015-07-14 00:00:00 UTC,0.13217371
2015-07-15 00:00:00 UTC,0.111305692
2015-07-16 00:00:00 UTC,0.096135316
2015-07-17 00:00:00 UTC,0.105163389
2015-07-18 00:00:00 UTC,0.099576142
2015-07-19 00:00:00 UTC,0.087244569
2015-07-20 00:00:00 UTC,0.089077577
2015-07-21 00:00:00 UTC,0.082790641
2015-07-22 00:00:00 UTC,0.078849114
2015-07-23 00:00:00 UTC,0.085301412
2015-07-24 00:00:00 UTC,0.078477408
2015-07-25 00:00:00 UTC,0.06896131
2015-07-26 00:00:00 UTC,0.069591512
2015-07-27 00:00:00 UTC,0.065776493
2015-07-28 00:00:00 UTC,0.080280257
2015-07-29 00:00:00 UTC,0.057878069
2015-07-30 00:00:00 UTC,0.054418035
2015-07-31 00:00:00 UTC,0.082889819
2015-08-01 00:00:00 UTC,0.092227257
2015-08-02 00:00:00 UTC,0.102567356
2015-08-03 00:00:00 UTC,0.09192445
2015-08-04 00:00:00 UTC,0.081391741
2015-08-05 00:00:00 UTC,0.095954279
2015-08-06 00:00:00 UTC,0.098145844
2015-08-07 00:00:00 UTC,0.089820721
2015-08-08 00:00:00 UTC,0.075502579
2015-08-09 00:00:00 UTC,0.09869052
2015-08-10 00:00:00 UTC,0.108991845
2015-08-11 00:00:00 UTC,0.088471977
2015-08-12 00:00:00 UTC,0.097397109
2015-08-13 00:00:00 UTC,0.071677372
2015-08-14 00:00:00 UTC,0.076078274
2015-08-15 00:00:00 UTC,0.090518596
2015-08-16 00:00:00 UTC,0.097495449
2015-08-17 00:00:00 UTC,0.098339786
2015-08-18 00:00:00 UTC,0.115608036
2015-08-19 00:00:00 UTC,0.13206761
2015-08-20 00:00:00 UTC,0.115323073
2015-08-21 00:00:00 UTC,0.155745002
2015-08-22 00:00:00 UTC,0.126188927
2015-08-23 00:00:00 UTC,0.116285972
2015-08-24 00:00:00 UTC,0.162319001
2015-08-25 00:00:00 UTC,0.179241949
2015-08-26 00:00:00 UTC,0.191409072
2015-08-27 00:00:00 UTC,0.14073341
2015-08-28 00:00:00 UTC,0.13914735
2015-08-29 00:00:00 UTC,0.123641564
2015-08-30 00:00:00 UTC,0.113556823
2015-08-31 00:00:00 UTC,0.131501906
2015-09-01 00:00:00 UTC,0.105992154
2015-09-02 00:00:00 UTC,0.120032856
2015-09-03 00:00:00 UTC,0.095607774
2015-09-04 00:00:00 UTC,0.094297971
2015-09-05 00:00:00 UTC,0.095967289
2015-09-06 00:00:00 UTC,0.125494081
2015-09-07 00:00:00 UTC,0.120720305
2015-09-08 00:00:00 UTC,0.130991761
2015-09-09 00:00:00 UTC,0.124779299
2015-09-10 00:00:00 UTC,0.124314841
2015-09-11 00:00:00 UTC,0.119869015
2015-09-12 00:00:00 UTC,0.134616286
2015-09-13 00:00:00 UTC,0.140906053
2015-09-14 00:00:00 UTC,0.137853055
2015-09-15 00:00:00 UTC,0.126859203
2015-09-16 00:00:00 UTC,0.133762469
2015-09-17 00:00:00 UTC,0.127458235
2015-09-18 00:00:00 UTC,0.151317896
2015-09-19 00:00:00 UTC,0.184242488
2015-09-20 00:00:00 UTC,0.247776795
2015-09-21 00:00:00 UTC,0.194958876
2015-09-22 00:00:00 UTC,0.208135282
2015-09-23 00:00:00 UTC,0.170332408
2015-09-24 00:00:00 UTC,0.149300081
2015-09-25 00:00:00 UTC,0.168094849
2015-09-26 00:00:00 UTC,0.169294718
2015-09-27 00:00:00 UTC,0.216446855
2015-09-28 00:00:00 UTC,0.19181036
2015-09-29 00:00:00 UTC,0.207649367
2015-09-30 00:00:00 UTC,0.198270971
2015-10-01 00:00:00 UTC,0.219859133
2015-10-02 00:00:00 UTC,0.159882617
2015-10-03 00:00:00 UTC,0.141807346
2015-10-04 00:00:00 UTC,0.22677709
2015-10-05 00:00:00 UTC,0.160467025
2015-10-06 00:00:00 UTC,0.159378858
2015-10-07 00:00:00 UTC,0.153615835
2015-10-08 00:00:00 UTC,0.139051332
2015-10-09 00:00:00 UTC,0.103981759
2015-10-10 00:00:00 UTC,0.185941405
2015-10-11 00:00:00 UTC,0.142326663
2015-10-12 00:00:00 UTC,0.129563473
2015-10-13 00:00:00 UTC,0.183038184
2015-10-14 00:00:00 UTC,0.183964315
2015-10-15 00:00:00 UTC,0.171489497
2015-10-16 00:00:00 UTC,0.168916675
2015-10-17 00:00:00 UTC,0.16196453
2015-10-18 00:00:00 UTC,0.253150109
2015-10-19 00:00:00 UTC,0.231373451
2015-10-20 00:00:00 UTC,0.152846462
2015-10-21 00:00:00 UTC,0.141861181
2015-10-22 00:00:00 UTC,0.117320656
2015-10-23 00:00:00 UTC,0.105328841
2015-10-24 00:00:00 UTC,0.121895933
2015-10-25 00:00:00 UTC,0.114951006
2015-10-26 00:00:00 UTC,0.123509293
2015-10-27 00:00:00 UTC,0.139382105
2015-10-28 00:00:00 UTC,0.153872766
2015-10-29 00:00:00 UTC,0.111835231
2015-10-30 00:00:00 UTC,0.126303821
2015-10-31 00:00:00 UTC,0.117448559
2015-11-01 00:00:00 UTC,0.159105538
2015-11-02 00:00:00 UTC,0.130024237
2015-11-03 00:00:00 UTC,0.17269867
2015-11-04 00:00:00 UTC,0.221668798
2015-11-05 00:00:00 UTC,0.24173975
2015-11-06 00:00:00 UTC,0.199043895
2015-11-07 00:00:00 UTC,0.199679045
2015-11-08 00:00:00 UTC,0.193205722
2015-11-09 00:00:00 UTC,0.1880373
2015-11-10 00:00:00 UTC,0.175474653
2015-11-11 00:00:00 UTC,0.230378365
2015-11-12 00:00:00 UTC,0.224200583
2015-11-13 00:00:00 UTC,0.237308605
2015-11-14 00:00:00 UTC,0.210122667
2015-11-15 00:00:00 UTC,0.185904536
2015-11-16 00:00:00 UTC,0.2392463
2015-11-17 00:00:00 UTC,0.159269892
2015-11-18 00:00:00 UTC,0.147751899
2015-11-19 00:00:00 UTC,0.117884831
2015-11-20 00:00:00 UTC,0.131194104
2015-11-21 00:00:00 UTC,0.06613432
2015-11-22 00:00:00 UTC,0.065716389
2015-11-23 00:00:00 UTC,0.088505849
2015-11-24 00:00:00 UTC,0.080090208
2015-11-25 00:00:00 UTC,0.080448602
2015-11-26 00:00:00 UTC,0.073633203
2015-11-27 00:00:00 UTC,0.107284436
2015-11-28 00:00:00 UTC,0.090153031
2015-11-29 00:00:00 UTC,0.07122955
2015-11-30 00:00:00 UTC,0.080759134
2015-12-01 00:00:00 UTC,0.069957364
2015-12-02 00:00:00 UTC,0.10738187
2015-12-03 00:00:00 UTC,0.087548097
2015-12-04 00:00:00 UTC,0.063002987
2015-12-05 00:00:00 UTC,0.052074248
2015-12-06 00:00:00 UTC,0.113849813
2015-12-07 00:00:00 UTC,0.09581523
2015-12-08 00:00:00 UTC,0.082463481
2015-12-09 00:00:00 UTC,0.076883412
2015-12-10 00:00:00 UTC,0.061299983
2015-12-11 00:00:00 UTC,0.060234732
2015-12-12 00:00:00 UTC,0.096232114
2015-12-13 00:00:00 UTC,0.081951124
2015-12-14 00:00:00 UTC,0.057447466
2015-12-15 00:00:00 UTC,0.107317142
2015-12-16 00:00:00 UTC,0.102898554
2015-12-17 00:00:00 UTC,0.128304742
2015-12-18 00:00:00 UTC,0.12780538
2015-12-19 00:00:00 UTC,0.113214044
2015-12-20 00:00:00 UTC,0.11966007
2015-12-21 00:00:00 UTC,0.125487845
2015-12-22 00:00:00 UTC,0.090843582
2015-12-23 00:00:00 UTC,0.078312957
2015-12-24 00:00:00 UTC,0.093803243
2015-12-25 00:00:00 UTC,0.139119706
2015-12-26 00:00:00 UTC,0.178715553
2015-12-27 00:00:00 UTC,0.150520302
2015-12-28 00:00:00 UTC,0.139409884
2015-12-29 00:00:00 UTC,0.146521695
2015-12-30 00:00:00 UTC,0.161253744
2015-12-31 00:00:00 UTC,0.148796553
2016-01-01 00:00:00 UTC,0.161793529
2016-01-02 00:00:00 UTC,0.113776813
2016-01-03 00:00:00 UTC,0.135263673
2016-01-04 00:00:00 UTC,0.149720706
2016-01-05 00:00:00 UTC,0.090937386
2016-01-06 00:00:00 UTC,0.065026899
2016-01-07 00:00:00 UTC,0.08741365
2016-01-08 00:00:00 UTC,0.09388699
2016-01-09 00:00:00 UTC,0.112531345
2016-01-10 00:00:00 UTC,0.096203272
2016-01-11 00:00:00 UTC,0.101658057
2016-01-12 00:00:00 UTC,0.108297241
2016-01-13 00:00:00 UTC,0.088762244
2016-01-14 00:00:00 UTC,0.093243847
2016-01-15 00:00:00 UTC,0.136020228
2016-01-16 00:00:00 UTC,0.12756595
2016-01-17 00:00:00 UTC,0.113606108
2016-01-18 00:00:00 UTC,0.125340786
2016-01-19 00:00:00 UTC,0.116613519
2016-01-20 00:00:00 UTC,0.156630179
2016-01-21 00:00:00 UTC,0.14296073
2016-01-22 00:00:00 UTC,0.144729188
2016-01-23 00:00:00 UTC,0.102369926
2016-01-24 00:00:00 UTC,0.149917307
2016-01-25 00:00:00 UTC,0.103901598
2016-01-26 00:00:00 UTC,0.095444641
2016-01-27 00:00:00 UTC,0.101385704
2016-01-28 00:00:00 UTC,0.131720117
2016-01-29 00:00:00 UTC,0.185580734
2016-01-30 00:00:00 UTC,0.153645342
2016-01-31 00:00:00 UTC,0.210168265
2016-02-01 00:00:00 UTC,0.152353273
2016-02-02 00:00:00 UTC,0.129372087
2016-02-03 00:00:00 UTC,0.12610413
