Timestamp,Date,Avg Rate (%/day),Total Amount Active Swaps (USD)
1463427148,5/16/16 21:32,0.05083,30856709.59
1463423560,5/16/16 20:32,0.05082,30823524.42
1463419964,5/16/16 19:32,0.05081,30846260.32
1463416368,5/16/16 18:32,0.05075,30865342.22
1463412757,5/16/16 17:32,0.05082,30575357.32
1463409158,5/16/16 16:32,0.0507,30625438.89
1463405538,5/16/16 15:32,0.05068,30639871.21
1463401944,5/16/16 14:32,0.05065,30601931.46
1463398364,5/16/16 13:32,0.05059,30578356.32
1463394740,5/16/16 12:32,0.05055,30569586.84
1463391145,5/16/16 11:32,0.05058,30586010.16
1463387549,5/16/16 10:32,0.0506,30589719.09
1463383952,5/16/16 9:32,0.0508,30552039.02
1463380359,5/16/16 8:32,0.05077,30482931.72
1463376759,5/16/16 7:32,0.05076,30518692.25
1463373162,5/16/16 6:32,0.05075,30533092.77
1463369567,5/16/16 5:32,0.05082,30557619.67
1463365939,5/16/16 4:32,0.05083,30587471.45
1463362377,5/16/16 3:32,0.05085,30593063.4
1463358762,5/16/16 2:32,0.05092,30617653.75
1463355161,5/16/16 1:32,0.05112,30511416.53
1463351563,5/16/16 0:32,0.05112,30511168.35
1463347957,5/15/16 23:32,0.05114,30510469.46
1463344360,5/15/16 22:32,0.05115,30522472.23
1463340758,5/15/16 21:32,0.05116,30523286.1
1463337157,5/15/16 20:32,0.05116,30586547.72
1463333558,5/15/16 19:32,0.0514,30884542.79
1463329963,5/15/16 18:32,0.05144,30875073.42
1463326336,5/15/16 17:32,0.05146,30870298.21
1463322742,5/15/16 16:32,0.05148,30890532.94
1463319147,5/15/16 15:32,0.05165,30827625.09
1463315553,5/15/16 14:32,0.05173,30802486.02
1463311950,5/15/16 13:32,0.05191,30812088.21
1463308370,5/15/16 12:32,0.05192,30813717.86
1463304737,5/15/16 11:32,0.05197,30828632.09
1463301143,5/15/16 10:32,0.05204,30858383.79
1463297546,5/15/16 9:32,0.05206,30891640.01
1463293967,5/15/16 8:32,0.05212,30880943.54
1463290363,5/15/16 7:32,0.05215,30887243.22
1463286772,5/15/16 6:32,0.05217,30855830.38
1463283167,5/15/16 5:32,0.05219,30872478.63
1463279564,5/15/16 4:32,0.05223,30910291.39
1463275957,5/15/16 3:32,0.0523,30876734.65
1463272345,5/15/16 2:32,0.05242,30867831.8
1463268771,5/15/16 1:32,0.05251,30847950.18
1463265164,5/15/16 0:32,0.05257,30850198.06
1463261553,5/14/16 23:32,0.05258,30831932.67
1463257952,5/14/16 22:32,0.05259,30807712.69
1463254347,5/14/16 21:32,0.05259,30829523.39
1463250748,5/14/16 20:32,0.05256,30825351.26
1463247142,5/14/16 19:32,0.05257,30815776.26
1463243543,5/14/16 18:32,0.05276,30875684.57
1463239965,5/14/16 17:32,0.0528,30848185.03
1463236351,5/14/16 16:32,0.05328,30875398.13
1463232744,5/14/16 15:32,0.05333,30966091.65
1463229156,5/14/16 14:32,0.0535,30954799.03
1463225576,5/14/16 13:32,0.05358,30956766.44
1463221914,5/14/16 12:31,0.05381,30897588.64
1463218348,5/14/16 11:32,0.05388,30715861.16
1463214738,5/14/16 10:32,0.05388,30712684.05
1463211162,5/14/16 9:32,0.05397,30736607.6
1463207557,5/14/16 8:32,0.05393,30730440.88
1463203966,5/14/16 7:32,0.05398,30769892.34
1463200369,5/14/16 6:32,0.05402,30772878.69
1463196758,5/14/16 5:32,0.05401,30782421.38
1463193141,5/14/16 4:32,0.05403,30802194.84
1463189566,5/14/16 3:32,0.05414,30784582
1463185954,5/14/16 2:32,0.05432,30879245.28
1463182347,5/14/16 1:32,0.05445,30983253.38
1463178746,5/14/16 0:32,0.05447,30995353.6
1463175161,5/13/16 23:32,0.05447,30933450.61
1463171536,5/13/16 22:32,0.05453,31169696.58
1463167955,5/13/16 21:32,0.05452,31157327.47
1463164350,5/13/16 20:32,0.05459,31181730.89
1463160740,5/13/16 19:32,0.05465,31217049.3
1463157147,5/13/16 18:32,0.05484,31203938.7
1463153553,5/13/16 17:32,0.05487,31197798.69
1463149949,5/13/16 16:32,0.05485,31208385.5
1463146362,5/13/16 15:32,0.05406,31215300.03
1463142759,5/13/16 14:32,0.05364,31178975.99
1463139147,5/13/16 13:32,0.05321,31251964.94
1463135565,5/13/16 12:32,0.05306,31233892.02
1463131957,5/13/16 11:32,0.05335,31593897.22
1463128367,5/13/16 10:32,0.05266,31533053.82
1463124761,5/13/16 9:32,0.05199,31252659.17
1463121154,5/13/16 8:32,0.0518,31182725.77
1463117563,5/13/16 7:32,0.05164,31159383.6
1463113966,5/13/16 6:32,0.05159,31139428.73
1463110357,5/13/16 5:32,0.05143,31125979.07
1463106756,5/13/16 4:32,0.05136,31132519.39
1463103166,5/13/16 3:32,0.05116,31188934.48
1463099551,5/13/16 2:32,0.05073,31149669.61
1463095951,5/13/16 1:32,0.05033,31105810.55
1463092368,5/13/16 0:32,0.05022,31128088.51
1463088753,5/12/16 23:32,0.05043,31401617.46
1463085164,5/12/16 22:32,0.05038,31468387.02
