Date,Rate,,,,,,,,
28/01/2016,118.8615,,,,,,,,
29/01/2016,118.585,,,,,,,,
30/01/2016,121.0635,,,,,,,,
31/01/2016,121.1245,,,,,,,,
1/2/16,121.1245,,,,,,,,
2/2/16,121.095,,,,,,,,
3/2/16,120.3325,,,,,,,,
4/2/16,117.9735,,,,,,,,
5/2/16,116.814,,,,,,,,
6/2/16,117.033,,,,,,,,
7/2/16,116.895,,,,,,,,
8/2/16,116.895,,,,,,,,
9/2/16,115.485,,,,,,,,
10/2/16,114.991,,,,,,,,
11/2/16,114.08,,,,,,,,
12/2/16,111.625,,,,,,,,
13/02/2016,113.0105,,,,,,,,
14/02/2016,113.225,,,,,,,,
15/02/2016,113.225,,,,,,,,
16/02/2016,114.545,,,,,,,,
17/02/2016,113.836,,,,,,,,
18/02/2016,114.2325,,,,,,,,
19/02/2016,113.557,,,,,,,,
20/02/2016,112.555,,,,,,,,
21/02/2016,112.565,,,,,,,,
22/02/2016,112.565,,,,,,,,
23/02/2016,113.054,,,,,,,,
24/02/2016,112.144,,,,,,,,
25/02/2016,111.3485,,,,,,,,
26/02/2016,112.5835,,,,,,,,
27/02/2016,113.825,,,,,,,,
28/02/2016,113.9805,,,,,,,,
29/02/2016,113.9805,,,,,,,,
1/3/16,112.985,,,,,,,,
2/3/16,113.875,,,,,,,,
3/3/16,113.84,,,,,,,,
4/3/16,113.4725,,,,,,,,
5/3/16,113.796,,,,,,,,
6/3/16,113.792,,,,,,,,
7/3/16,113.792,,,,,,,,
8/3/16,113.6545,,,,,,,,
9/3/16,112.5475,,,,,,,,
10/3/16,112.9585,,,,,,,,
11/3/16,113.125,,,,,,,,
12/3/16,113.665,,,,,,,,
13/03/2016,113.814,,,,,,,,
14/03/2016,113.814,,,,,,,,
15/03/2016,113.579,,,,,,,,
16/03/2016,112.957,,,,,,,,
17/03/2016,113.685,,,,,,,,
18/03/2016,111.01,,,,,,,,
19/03/2016,111.518,,,,,,,,
20/03/2016,111.575,,,,,,,,
21/03/2016,111.575,,,,,,,,
22/03/2016,111.705,,,,,,,,
23/03/2016,112.045,,,,,,,,
24/03/2016,112.699,,,,,,,,
25/03/2016,112.685,,,,,,,,
26/03/2016,113.145,,,,,,,,
27/03/2016,113.081,,,,,,,,
28/03/2016,113.081,,,,,,,,
29/03/2016,113.375,,,,,,,,
30/03/2016,112.9135,,,,,,,,
31/03/2016,112.505,,,,,,,,
1/4/16,112.4835,,,,,,,,
2/4/16,111.7345,,,,,,,,
3/4/16,111.6115,,,,,,,,
4/4/16,111.655,,,,,,,,
5/4/16,111.133,,,,,,,,
6/4/16,110.241,,,,,,,,
7/4/16,109.67,,,,,,,,
8/4/16,108.2735,,,,,,,,
9/4/16,108.43,,,,,,,,
10/4/16,108.055,,,,,,,,
11/4/16,108.055,,,,,,,,
12/4/16,108.03,,,,,,,,
13/04/2016,108.675,,,,,,,,
14/04/2016,109.31,,,,,,,,
15/04/2016,109.16,,,,,,,,
16/04/2016,108.72,,,,,,,,
17/04/2016,108.76,,,,,,,,
18/04/2016,108.76,,,,,,,,
19/04/2016,108.83,,,,,,,,
20/04/2016,109.058,,,,,,,,
21/04/2016,109.7665,,,,,,,,
22/04/2016,109.525,,,,,,,,
23/04/2016,111.7175,,,,,,,,
24/04/2016,111.796,,,,,,,,
25/04/2016,111.796,,,,,,,,
26/04/2016,111.198,,,,,,,,
27/04/2016,111.395,,,,,,,,
28/04/2016,111.3295,,,,,,,,
29/04/2016,108.036,,,,,,,,
30/04/2016,106.692,,,,,,,,
1/5/16,106.365,,,,,,,,
2/5/16,106.365,,,,,,,,
3/5/16,106.504,,,,,,,,
